ActualEVTYPE,ValidValue
   HIGH SURF ADVISORY,High Surf
 FLASH FLOOD,Flash Flood
 TSTM WIND,Thunderstorm Wind
 TSTM WIND (G45),Thunderstorm Wind
?,Other
AGRICULTURAL FREEZE,Frost/Freeze
APACHE COUNTY,Other
ASTRONOMICAL HIGH TIDE,Other
ASTRONOMICAL LOW TIDE,Other
AVALANCE,Avalanche
AVALANCHE,Avalanche
Beach Erosion,Coastal Flood
BLACK ICE,Frost/Freeze
BLIZZARD,Blizzard
BLIZZARD/WINTER STORM,Blizzard
BLOWING DUST,High Wind
BLOWING SNOW,Blizzard
blowing snow,Winter Weather
BLOWING SNOW,Winter Weather
blowing snow,Winter Weather
BREAKUP FLOODING,Flood
BRUSH FIRE,Wildfire
COASTAL  FLOODING/EROSION,Coastal Flood
COASTAL EROSION,Coastal Flood
COASTAL FLOOD,Coastal Flood
Coastal Flood,Coastal Flood
COASTAL FLOODING,Coastal Flood
Coastal Flooding,Coastal Flood
COASTAL FLOODING,Coastal Flood
Coastal Flooding,Coastal Flood
COASTAL FLOODING/EROSION,Coastal Flood
COASTAL STORM,Tropical Storm
Coastal Storm,Tropical Storm
COASTAL STORM,Tropical Storm
Coastal Storm,Tropical Storm
COASTAL SURGE,Tropical Storm
COASTALSTORM,Tropical Storm
COLD,Cold/Wind Chill
Cold,Cold/Wind Chill
COLD,Cold/Wind Chill
Cold,Cold/Wind Chill
COLD AIR TORNADO,Tornado
COLD AND SNOW,Cold/Wind Chill
COLD AND WET CONDITIONS,Cold/Wind Chill
Cold Temperature,Cold/Wind Chill
COLD WAVE,Cold/Wind Chill
COLD WEATHER,Cold/Wind Chill
COLD/WIND CHILL,Cold/Wind Chill
COLD/WINDS,Cold/Wind Chill
COOL AND WET,Cold/Wind Chill
DAM BREAK,Flood
DAMAGING FREEZE,Frost/Freeze
Damaging Freeze,Frost/Freeze
DENSE FOG,Dense Fog
DENSE SMOKE,Wildfire
DOWNBURST,Flood
DROUGHT,Drought
DROUGHT/EXCESSIVE HEAT,Drought
DROWNING,Other
DRY MICROBURST,Thunderstorm Wind
DRY MIRCOBURST WINDS,Thunderstorm Wind
DUST DEVIL,Dust Devil
Dust Devil,Dust Devil
DUST DEVIL,Dust Devil
Dust Devil,Dust Devil
DUST DEVIL WATERSPOUT,Dust Devil
DUST STORM,Dust Storm
DUST STORM/HIGH WINDS,Dust Storm
Early Frost,Frost/Freeze
Erosion/Cstl Flood,Flood
EXCESSIVE HEAT,Heat
EXCESSIVE RAINFALL,Heavy Rain
EXCESSIVE SNOW,Heavy Snow
EXCESSIVE WETNESS,Heavy Rain
Extended Cold,Extreme Cold/Wind Chill
EXTREME COLD,Extreme Cold/Wind Chill
Extreme Cold,Extreme Cold/Wind Chill
EXTREME COLD,Extreme Cold/Wind Chill
Extreme Cold,Extreme Cold/Wind Chill
EXTREME COLD/WIND CHILL,Extreme Cold/Wind Chill
EXTREME HEAT,Excessive Heat
EXTREME WIND CHILL,Extreme Cold/Wind Chill
EXTREME WINDCHILL,Extreme Cold/Wind Chill
FALLING SNOW/ICE,Heavy Snow
FLASH FLOOD,Flash Flood
FLASH FLOOD - HEAVY RAIN,Flash Flood
FLASH FLOOD FROM ICE JAMS,Flash Flood
FLASH FLOOD LANDSLIDES,Flash Flood
FLASH FLOOD WINDS,Flash Flood
FLASH FLOOD/,Flash Flood
FLASH FLOOD/ STREET,Flash Flood
FLASH FLOOD/FLOOD,Flash Flood
FLASH FLOOD/LANDSLIDE,Flash Flood
FLASH FLOODING,Flash Flood
FLASH FLOODING/FLOOD,Flash Flood
FLASH FLOODING/THUNDERSTORM WI,Flash Flood
FLASH FLOODS,Flash Flood
FLOOD,Flood
FLOOD & HEAVY RAIN,Flood
FLOOD FLASH,Flood
FLOOD/FLASH,Flood
FLOOD/FLASH FLOOD,Flash Flood
FLOOD/FLASH/FLOOD,Flash Flood
FLOOD/FLASHFLOOD,Flash Flood
FLOOD/RAIN/WINDS,Flash Flood
FLOOD/RIVER FLOOD,Flood
FLOODING,Flood
FLOODING/HEAVY RAIN,Flood
FLOODS,Flood
FOG,Dense Fog
FOG AND COLD TEMPERATURES,Dense Fog
FOREST FIRES,Wildfire
FREEZE,Frost/Freeze
Freeze,Frost/Freeze
FREEZING DRIZZLE,Ice Storm
Freezing Drizzle,Ice Storm
Freezing drizzle,Ice Storm
FREEZING FOG,Heavy Fog
FREEZING RAIN,Ice Storm
Freezing Rain,Ice Storm
FREEZING RAIN/SLEET,Ice Storm
FREEZING RAIN/SNOW,Ice Storm
Freezing Spray,Freezing Fog
FROST,Frost/Freeze
FROST/FREEZE,Frost/Freeze
Frost/Freeze,Frost/Freeze
FROST\\FREEZE,Frost/Freeze
FUNNEL CLOUD,Tornado
GLAZE,Ice Storm
Glaze,Ice Storm
GLAZE ICE,Ice Storm
GLAZE/ICE STORM,Ice Storm
GRADIENT WIND,Strong Wind
Gradient wind,Strong Wind
gradient wind,Strong Wind
GRASS FIRES,Wildfire
GROUND BLIZZARD,Blizzard
GUSTNADO,Tornado
GUSTY WIND,Strong Wind
GUSTY WIND/HAIL,Strong Wind
GUSTY WIND/HVY RAIN,Strong Wind
Gusty wind/rain,Strong Wind
GUSTY WINDS,Strong Wind
Gusty Winds,Strong Wind
Gusty winds,Strong Wind
GUSTY WINDS,Strong Wind
Gusty Winds,Strong Wind
Gusty winds,Strong Wind
HAIL,Hail
HAIL 0.75,Hail
HAIL 075,Hail
HAIL 100,Hail
HAIL 125,Hail
HAIL 150,Hail
HAIL 175,Hail
HAIL 200,Hail
HAIL 275,Hail
HAIL 450,Hail
HAIL 75,Hail
HAIL DAMAGE,Hail
HAIL/WIND,Hail
HAIL/WINDS,Hail
HAILSTORM,Hail
HARD FREEZE,Frost/Freeze
HAZARDOUS SURF,High Surf
HEAT,Heat
HEAT WAVE,Excessive Heat
Heat Wave,Excessive Heat
HEAT WAVE,Excessive Heat
Heat Wave,Excessive Heat
HEAT WAVE DROUGHT,Excessive Heat
HEAT WAVES,High Surf
HEAVY LAKE SNOW,Heavy Snow
HEAVY MIX,Heavy Snow
HEAVY PRECIPITATION,Heavy Rain
HEAVY RAIN,Heavy Rain
HEAVY RAIN AND FLOOD,Heavy Rain
Heavy Rain/High Surf,Heavy Rain
HEAVY RAIN/LIGHTNING,Heavy Rain
HEAVY RAIN/SEVERE WEATHER,Heavy Rain
HEAVY RAIN/SMALL STREAM URBAN,Heavy Rain
HEAVY RAIN/SNOW,Heavy Rain
HEAVY RAINS,Heavy Rain
HEAVY RAINS/FLOODING,Heavy Rain
HEAVY SEAS,High Surf
HEAVY SHOWER,Heavy Rain
HEAVY SNOW,Heavy Snow
HEAVY SNOW AND HIGH WINDS,Heavy Snow
HEAVY SNOW AND STRONG WINDS,Heavy Snow
Heavy snow shower,Heavy Snow
Heavy snow shower  HEAVY SNOW/BLIZZARD/AVALANCHE,Blizzard
HEAVY SNOW SQUALLS,Blizzard
HEAVY SNOW/BLIZZARD,Blizzard
HEAVY SNOW/BLIZZARD/AVALANCHE,Blizzard
HEAVY SNOW/FREEZING RAIN,Blizzard
HEAVY SNOW/HIGH WINDS & FLOOD,High Wind
HEAVY SNOW/ICE,Heavy Snow
HEAVY SNOW/SQUALLS,Heavy Snow
HEAVY SNOW/WIND,Heavy Snow
HEAVY SNOW/WINTER STORM,Heavy Snow
HEAVY SNOWPACK,Heavy Snow
HEAVY SNOW-SQUALLS,Heavy Snow
HEAVY SURF,High Surf
Heavy Surf,High Surf
HEAVY SURF,High Surf
Heavy Surf,High Surf
Heavy surf and wind,High Surf
HEAVY SURF COASTAL FLOODING,High Surf
HEAVY SURF/HIGH SURF,High Surf
HEAVY SWELLS,High Surf
HIGH,High Surf
HIGH  WINDS,High Wind
HIGH SEAS,High Surf
HIGH SURF,High Surf
High Surf,High Surf
HIGH SURF,High Surf
High Surf,High Surf
HIGH SWELLS,High Surf
HIGH TIDES,High Surf
HIGH WATER,High Surf
HIGH WAVES,High Surf
HIGH WIND,High Wind
HIGH WIND (G40),High Wind
HIGH WIND 48,High Wind
HIGH WIND AND SEAS,High Wind
HIGH WIND DAMAGE,High Wind
HIGH WIND/BLIZZARD,High Wind
HIGH WIND/HEAVY SNOW,High Wind
HIGH WIND/SEAS,High Wind
HIGH WINDS,High Wind
HIGH WINDS HEAVY RAINS,High Wind
HIGH WINDS/,High Wind
HIGH WINDS/COASTAL FLOOD,High Wind
HIGH WINDS/COLD,High Wind
HIGH WINDS/HEAVY RAIN,High Wind
HIGH WINDS/SNOW,High Wind
HURRICANE,Hurricane-Typhoon
Hurricane Edouard,Hurricane-Typhoon
HURRICANE EMILY,Hurricane-Typhoon
HURRICANE ERIN,Hurricane-Typhoon
HURRICANE FELIX,Hurricane-Typhoon
HURRICANE GORDON,Hurricane-Typhoon
HURRICANE OPAL,Hurricane-Typhoon
HURRICANE OPAL/HIGH WINDS,Hurricane-Typhoon
HURRICANE/TYPHOON,Hurricane-Typhoon
HURRICANE-GENERATED SWELLS,Hurricane-Typhoon
HVY RAIN,Heavy Rain
HYPERTHERMIA/EXPOSURE,Cold/Wind Chill
HYPOTHERMIA,Cold/Wind Chill
HYPOTHERMIA/EXPOSURE,Cold/Wind Chill
Hypothermia/Exposure,Cold/Wind Chill
HYPOTHERMIA/EXPOSURE,Cold/Wind Chill
Hypothermia/Exposure,Cold/Wind Chill
ICE,Ice Storm
ICE AND SNOW,Ice Storm
ICE FLOES,Frost/Freeze
ICE JAM,Frost/Freeze
Ice jam flood (minor,Frost/Freeze
ICE JAM FLOODING,Frost/Freeze
ICE ON ROAD,Frost/Freeze
ICE ROADS,Frost/Freeze
ICE STORM,Ice Storm
ICE STORM/FLASH FLOOD,Ice Storm
ICE/STRONG WINDS,Ice Storm
ICY ROADS,Frost/Freeze
LAKE EFFECT SNOW,Lake-Effect Snow
Lake Effect Snow,Lake-Effect Snow
LAKE FLOOD,Flood
LAKE-EFFECT SNOW,Lake-Effect Snow
LAKESHORE FLOOD,Flood
LANDSLIDE,Debris Flow
LANDSLIDES,Debris Flow
Landslump,Debris Flow
LANDSPOUT,Tornado
LATE SEASON SNOW,Winter Weather
LIGHT FREEZING RAIN,Winter Weather
LIGHT SNOW,Winter Weather
Light Snow,Winter Weather
Light snow,Winter Weather
Light Snowfall,Winter Weather
LIGHTING,Lightning
LIGHTNING,Lightning
LIGHTNING  WAUSEON,Lightning
LIGHTNING AND HEAVY RAIN,Lightning
LIGHTNING AND THUNDERSTORM WIN,Lightning
LIGHTNING FIRE,Lightning
LIGHTNING INJURY,Lightning
LIGHTNING THUNDERSTORM WINDS,Lightning
LIGHTNING.,Lightning
LIGHTNING/HEAVY RAIN,Lightning
LIGNTNING,Cold/Wind Chill
LOW TEMPERATURE,Cold/Wind Chill
MAJOR FLOOD,Flood
Marine Accident,Other
MARINE HAIL,Marine Hail
MARINE HIGH WIND,Marine High Wind
MARINE MISHAP,Marine High Wind
MARINE STRONG WIND,Marine Strong Wind
MARINE THUNDERSTORM WIND,Marine Thunderstorm Wind
MARINE TSTM WIND,Marine Thunderstorm Wind
MICROBURST,Other
Microburst,Other
MICROBURST WINDS,Heavy Wind
MINOR FLOODING,Flood
MIXED PRECIP,Sleet
MIXED PRECIPITATION,Heavy Rain
Mixed Precipitation,Heavy Rain
MUD SLIDE,Debris Flow
MUD SLIDES,Debris Flow
MUD SLIDES URBAN FLOODING,Debris Flow
Mudslide,Debris Flow
MUDSLIDE,Debris Flow
Mudslide,Debris Flow
Mudslides,Debris Flow
MUDSLIDES,Debris Flow
Mudslides,Debris Flow
NON TSTM WIND,High Wind
NON-SEVERE WIND DAMAGE,Strong Wind
NON-TSTM WIND,High Wind
OTHER,Other
Other,Other
RAIN,Heavy Rain
RAIN/SNOW,Heavy Rain
RAIN/WIND,Heavy Wind
RAINSTORM,Heavy Rain
RAPIDLY RISING WATER,Flash Flood
RECORD COLD,Extreme Cold/Wind Chill
RECORD HEAT,Excessive Heat
RECORD RAINFALL,Heavy Rain
RECORD SNOW,Heavy Snow
RECORD/EXCESSIVE HEAT,Excessive Heat
RIP CURRENT,Rip Current
RIP CURRENTS,Rip Current
RIP CURRENTS/HEAVY SURF,Rip Current
RIVER AND STREAM FLOOD,Flood
RIVER FLOOD,Flood
RIVER FLOODING,Flood
River Flooding,Flood
RIVER FLOODING,Flood
River Flooding,Debris Flow
ROCK SLIDE,Debris Flow
ROGUE WAVE,High Surf
ROUGH SEAS,Rip Current
ROUGH SURF,High Surf
RURAL FLOOD,Flood
SEICHE,Seiche
SEVERE THUNDERSTORM,Thunderstorm Wind
SEVERE THUNDERSTORM WINDS,Thunderstorm Wind
SEVERE THUNDERSTORMS,Thunderstorm Wind
SEVERE TURBULENCE,Thunderstorm Wind
SLEET,Sleet
SLEET/ICE STORM,Sleet
SMALL HAIL,Hail
SMALL STREAM FLOOD,Flood
SNOW,Winter Weather
Snow,Winter Weather
SNOW,Winter Weather
Snow,Winter Weather
SNOW ACCUMULATION,Winter Weather
SNOW AND HEAVY SNOW,Heavy Snow
SNOW AND ICE,Winter Weather
SNOW AND ICE STORM,Winter Weather
SNOW FREEZING RAIN,Winter Weather
SNOW SQUALL,Winter Weather
Snow Squalls,Winter Weather
SNOW SQUALLS,Winter Weather
Snow Squalls,Winter Weather
SNOW/ BITTER COLD,Winter Weather
SNOW/ ICE,Winter Weather
SNOW/BLOWING SNOW,Winter Weather
SNOW/COLD,Winter Weather
SNOW/FREEZING RAIN,Winter Weather
SNOW/HEAVY SNOW,Heavy Snow
SNOW/HIGH WINDS,Winter Weather
SNOW/ICE,Winter Weather
SNOW/ICE STORM,Ice Storm
SNOW/SLEET,Sleet
SNOW/SLEET/FREEZING RAIN,Sleet
SNOWMELT FLOODING,Flood
STORM FORCE WINDS,Strong Wind
STORM SURGE,Storm Surge/Tide
STORM SURGE/TIDE,Storm Surge/Tide
STRONG WIND,Strong Wind
Strong Wind,Strong Wind
STRONG WINDS,Strong Wind
Strong Winds,Strong Wind
STRONG WINDS,Strong Wind
Strong Winds,Strong Wind
THUDERSTORM WINDS,Thunderstorm Wind
THUNDEERSTORM WINDS,Thunderstorm Wind
THUNDERESTORM WINDS,Thunderstorm Wind
THUNDERSNOW,Thunderstorm Wind
THUNDERSTORM,Thunderstorm Wind
THUNDERSTORM  WINDS,Thunderstorm Wind
THUNDERSTORM DAMAGE TO,Thunderstorm Wind
THUNDERSTORM HAIL,Thunderstorm Wind
THUNDERSTORM WIND,Thunderstorm Wind
THUNDERSTORM WIND (G40),Thunderstorm Wind
THUNDERSTORM WIND 60 MPH,Thunderstorm Wind
THUNDERSTORM WIND 65 MPH,Thunderstorm Wind
THUNDERSTORM WIND 65MPH,Thunderstorm Wind
THUNDERSTORM WIND 98 MPH,Thunderstorm Wind
THUNDERSTORM WIND G50,Thunderstorm Wind
THUNDERSTORM WIND G52,Thunderstorm Wind
THUNDERSTORM WIND G55,Thunderstorm Wind
THUNDERSTORM WIND G60,Thunderstorm Wind
THUNDERSTORM WIND TREES,Thunderstorm Wind
THUNDERSTORM WIND.,Thunderstorm Wind
THUNDERSTORM WIND/ TREE,Thunderstorm Wind
THUNDERSTORM WIND/ TREES,Thunderstorm Wind
THUNDERSTORM WIND/AWNING,Thunderstorm Wind
THUNDERSTORM WIND/HAIL,Thunderstorm Wind
THUNDERSTORM WIND/LIGHTNING,Thunderstorm Wind
THUNDERSTORM WINDS,Thunderstorm Wind
THUNDERSTORM WINDS 13,Thunderstorm Wind
THUNDERSTORM WINDS 63 MPH,Thunderstorm Wind
THUNDERSTORM WINDS AND,Thunderstorm Wind
THUNDERSTORM WINDS G60,Thunderstorm Wind
THUNDERSTORM WINDS HAIL,Thunderstorm Wind
THUNDERSTORM WINDS LIGHTNING,Thunderstorm Wind
THUNDERSTORM WINDS.,Thunderstorm Wind
THUNDERSTORM WINDS/ FLOOD,Thunderstorm Wind
THUNDERSTORM WINDS/FLOODING,Thunderstorm Wind
THUNDERSTORM WINDS/FUNNEL CLOU,Thunderstorm Wind
THUNDERSTORM WINDS/HAIL,Thunderstorm Wind
THUNDERSTORM WINDS53,Thunderstorm Wind
THUNDERSTORM WINDSHAIL,Thunderstorm Wind
THUNDERSTORM WINDSS,Thunderstorm Wind
THUNDERSTORM WINS,Thunderstorm Wind
THUNDERSTORMS,Thunderstorm Wind
THUNDERSTORMS WIND,Thunderstorm Wind
THUNDERSTORMS WINDS,Thunderstorm Wind
THUNDERSTORMW,Thunderstorm Wind
THUNDERSTORMWINDS,Thunderstorm Wind
THUNDERSTROM WIND,Thunderstorm Wind
THUNDERTORM WINDS,Thunderstorm Wind
THUNERSTORM WINDS,Thunderstorm Wind
TIDAL FLOODING,Flood
Tidal Flooding,Flood
TORNADO,Tornado
TORNADO F0,Tornado
TORNADO F1,Tornado
TORNADO F2,Tornado
TORNADO F3,Tornado
TORNADOES,Tornado
"TORNADOES, TSTM WIND, HAIL",Tornado
TORNDAO,Tornado
Torrential Rainfall,Heavy Rain
TROPICAL DEPRESSION,Tropical Depression
TROPICAL STORM,Tropical Storm
TROPICAL STORM ALBERTO,Tropical Storm
TROPICAL STORM DEAN,Tropical Storm
TROPICAL STORM GORDON,Tropical Storm
TROPICAL STORM JERRY,Tropical Storm
TSTM WIND,Thunderstorm Wind
Tstm Wind,Thunderstorm Wind
TSTM WIND  (G45),Thunderstorm Wind
TSTM WIND (41),Thunderstorm Wind
TSTM WIND (G35),Thunderstorm Wind
TSTM WIND (G40),Thunderstorm Wind
TSTM WIND (G45),Thunderstorm Wind
TSTM WIND 40,Thunderstorm Wind
TSTM WIND 45,Thunderstorm Wind
TSTM WIND 55,Thunderstorm Wind
TSTM WIND 65),Thunderstorm Wind
TSTM WIND AND LIGHTNING,Thunderstorm Wind
TSTM WIND DAMAGE,Thunderstorm Wind
TSTM WIND G45,Thunderstorm Wind
TSTM WIND G58,Thunderstorm Wind
TSTM WIND/HAIL,Thunderstorm Wind
TSTM WINDS,Thunderstorm Wind
TSTMW,Thunderstorm Wind
TSUNAMI,Tsunami
TUNDERSTORM WIND,Thunderstorm Wind
TYPHOON,Hurricane-Typhoon
Unseasonable Cold,Extreme Cold/Wind Chill
UNSEASONABLY COLD,Extreme Cold/Wind Chill
UNSEASONABLY WARM,Excessive Heat
UNSEASONABLY WARM AND DRY,Excessive Heat
UNSEASONABLY WARM AND DRY URBAN AND SMALL STREAM FLOODIN,Excessive Heat
UNSEASONAL RAIN,Excessive Heat
URBAN AND SMALL,Flood
URBAN AND SMALL STREAM FLOODIN,Flood
URBAN FLOOD,Flood
URBAN FLOODING,Flood
URBAN FLOODS,Flood
URBAN SMALL,Flood
URBAN/SMALL STREAM,Flood
URBAN/SMALL STREAM FLOOD,Flood
URBAN/SML STREAM FLD,Flood
VOLCANIC ASH,Volcanic Ash
WARM WEATHER,Heat
WATERSPOUT,Waterspout
WATERSPOUT-,Waterspout
WATERSPOUT TORNADO,Waterspout
WATERSPOUT/ TORNADO,Waterspout
WATERSPOUT/TORNADO,Waterspout
WATERSPOUT-TORNADO,Waterspout
WET MICROBURST,Other
Whirlwind,Heavy Wind
WHIRLWIND,Heavy Wind
Whirlwind,Heavy Wind
WILD FIRES,Wildfire
WILD/FOREST FIRE,Wildfire
WILD/FOREST FIRES,Wildfire
WILDFIRE,Wildfire
WILDFIRES,Wildfire
WIND,Strong Wind
Wind,Strong Wind
WIND AND WAVE,Strong Wind
WIND DAMAGE,Strong Wind
Wind Damage,Strong Wind
WIND STORM,Strong Wind
WIND/HAIL,Hail
WINDS,Strong Wind
WINTER STORM,Winter Storm
WINTER STORM HIGH WINDS,Winter Storm
WINTER STORMS,Winter Storm
WINTER WEATHER,Winter Weather
WINTER WEATHER MIX,Winter Weather
WINTER WEATHER/MIX,Winter Weather
WINTRY MIX,Winter Weather
Wintry Mix,Winter Weather
